Chr	Start	End	Gene
chr1	1718769	1718876	GNB1
chr1	1720491	1720708	GNB1
chr1	1721833	1722035	GNB1
chr1	1724683	1724750	GNB1
chr1	1735857	1736020	GNB1
chr1	1737913	1737977	GNB1
chr1	1747194	1747301	GNB1
chr1	1749275	1749314	GNB1
chr1	1756835	1756892	GNB1
chr1	36931696	36931801	CSF3R
chr1	36931957	36932428	CSF3R
chr1	36931957	36932509	CSF3R
chr1	36932221	36932428	CSF3R
chr1	36932830	36932912	CSF3R
chr1	36933158	36933252	CSF3R
chr1	36933422	36933563	CSF3R
chr1	36933675	36933822	CSF3R
chr1	36934756	36934858	CSF3R
chr1	36935252	36935441	CSF3R
chr1	36937033	36937247	CSF3R
chr1	36937666	36937740	CSF3R
chr1	36937838	36937992	CSF3R
chr1	36938117	36938287	CSF3R
chr1	36939035	36939223	CSF3R
chr1	36939364	36939488	CSF3R
chr1	36940977	36941274	CSF3R
chr1	36945033	36945097	CSF3R
